id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote_USD_price,quote_USD_volume_24h,quote_USD_volume_change_24h,quote_USD_percent_change_1h,quote_USD_percent_change_24h,quote_USD_percent_change_7d,quote_USD_percent_change_30d,quote_USD_percent_change_60d,quote_USD_percent_change_90d,quote_USD_market_cap,quote_USD_market_cap_dominance,quote_USD_fully_diluted_market_cap,quote_USD_tvl,quote_USD_last_updated,platform_id,platform_name,platform_symbol,platform_slug,platform_token_address,collection_timestamp
1,Bitcoin,BTC,bitcoin,12415,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",21000000.0,19932790.0,19932790.0,False,,1,,,,2025-10-12T07:56:00.000Z,111613.53773280619,81461972789.2171,-56.5129,-0.24542213,0.97262402,-10.62160774,-3.08225653,-6.61984956,-9.09786067,2224769208785.102,59.5951,2343884292388.93,,2025-10-12T07:56:00.000Z,,,,,,2025-10-12 09:57:37.597842
1027,Ethereum,ETH,ethereum,10885,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'sophon-ecosystem']",,120703250.5285526,120703250.5285526,True,,2,,,,2025-10-12T07:55:00.000Z,3834.770795406164,49548536771.47856,-56.3299,0.004327,1.892206,-16.83006836,-15.32011212,-17.06852391,25.76555406,462869300037.4871,12.3989,462869300037.49,,2025-10-12T07:55:00.000Z,,,,,,2025-10-12 09:57:37.597842
825,Tether USDt,USDT,tether,151696,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'venom-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'apertum-ecosystem', 'etherlink-ecosystem', 'duckchain-ecosystem', 'onus-ecosystem', 'sophon-ecosystem', 'zedxion-smart-chain-ecosystem', 'xlayer-ecosystem']",,179795529123.30716,182009025848.42624,True,,3,,,,2025-10-12T07:55:00.000Z,1.0010496323007545,188446607403.19046,-54.6071,0.01345119,0.00752748,0.09917812,0.10021548,0.11112648,0.08937137,179984248318.20624,4.8213,182200068400.99,,2025-10-12T07:55:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-10-12 09:57:37.597842
1839,BNB,BNB,bnb,2803,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'made-in-china']",,139182238.81,139182238.81,False,,4,,,,2025-10-12T07:56:00.000Z,1160.3446393339652,6871136184.151791,-40.4693,0.71489533,6.14966234,-1.4755491,28.31812471,37.1056288,64.26814657,161499364693.68326,4.3261,161499364693.68,,2025-10-12T07:56:00.000Z,,,,,,2025-10-12 09:57:37.597842
52,XRP,XRP,xrp,1717,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",100000000000.0,59916045245.0,99985787384.0,False,,5,,,,2025-10-12T07:55:00.000Z,2.390178841282024,8480785277.362498,-57.9256,-0.15774666,-0.92575703,-21.8818723,-22.11307691,-26.04023621,-19.21380503,143210063597.89545,3.8362,239017884128.2,,2025-10-12T07:55:00.000Z,,,,,,2025-10-12 09:57:37.597842
5426,Solana,SOL,solana,1015,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,546564894.3329924,611727330.6868482,True,,6,525236893.3,95949234586.49971,,2025-10-12T07:55:00.000Z,182.6780178819166,10333346675.162418,-49.6494,0.11107037,-0.30577536,-22.7170473,-23.07262343,-7.64187222,9.18425702,99845391540.59024,2.6746,111749136254.07,,2025-10-12T07:55:00.000Z,,,,,,2025-10-12 09:57:37.597842
3408,USDC,USDC,usd-coin,32769,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'xdc-ecosystem', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'venom-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'unichain-ecosystem', 'vector-smart-chain-ecosystem', 'sophon-ecosystem', 'xlayer-ecosystem']",,75481919496.85844,75481919496.85844,False,,7,60901219650.23,60899986875.21645,,2025-10-12T07:55:00.000Z,0.9999797577943327,20892142082.270687,-59.6581,0.00085753,0.01284214,0.02115333,0.04401473,0.01224725,0.01510369,75480391576.31982,2.0219,75480391576.32,,2025-10-12T07:55:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-10-12 09:57:37.597842
1958,TRON,TRX,tron,1239,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'made-in-china']",,94667220162.80551,94667237435.17981,True,,8,94667886298.43,29896645718.19123,,2025-10-12T07:55:00.000Z,0.3158055692079717,944921452.8494476,-54.4171,-0.02557105,-0.34188084,-7.92572421,-9.3687534,-11.37327048,4.18682517,29896435348.85117,0.8008,29896440803.56,,2025-10-12T07:55:00.000Z,,,,,,2025-10-12 09:57:37.597842
74,Dogecoin,DOGE,dogecoin,1317,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america', 'binance-ecosystem', 'binance-listing']",,151316416383.7052,151316416383.7052,True,,9,,,,2025-10-12T07:56:00.000Z,0.19019201728573068,4448409060.016433,-61.6915,-0.16322217,-0.7746824,-27.71607298,-26.85582458,-21.65716563,-8.63140994,28779174480.46448,0.7709,28779174480.46,,2025-10-12T07:56:00.000Z,,,,,,2025-10-12 09:57:37.597842
2010,Cardano,ADA,cardano,1596,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",45000000000.0,35834505705.15792,44994673107.93063,False,,10,37997904336.0,24674753700.816666,,2025-10-12T07:56:00.000Z,0.649371435925199,1644630893.834721,-69.559,-0.04904083,-0.4695653,-25.84707844,-27.86141926,-24.15617896,-14.70490639,23269904425.428135,0.6233,29221714616.63,,2025-10-12T07:56:00.000Z,,,,,,2025-10-12 09:57:37.597842
1,Bitcoin,BTC,bitcoin,12415,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",21000000.0,19932790.0,19932790.0,False,,1,,,,2025-10-12T08:03:00.000Z,111651.94546035364,80558412738.97153,-56.8512,-0.12711858,1.06705539,-10.45513587,-3.00270619,-6.62603419,-8.92873273,2225534781952.6826,59.6446,2344690854667.43,,2025-10-12T08:03:00.000Z,,,,,,2025-10-12 10:05:36.034182
1027,Ethereum,ETH,ethereum,10885,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'sophon-ecosystem']",,120703250.5285526,120703250.5285526,True,,2,,,,2025-10-12T08:03:00.000Z,3830.591321131676,48896245349.34877,-57.0916,-0.25180631,1.78878211,-16.94298954,-15.33986355,-17.29970582,25.94142635,462364823907.056,12.3914,462364823907.06,,2025-10-12T08:03:00.000Z,,,,,,2025-10-12 10:05:36.034182
825,Tether USDt,USDT,tether,151696,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'venom-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'apertum-ecosystem', 'etherlink-ecosystem', 'duckchain-ecosystem', 'onus-ecosystem', 'sophon-ecosystem', 'zedxion-smart-chain-ecosystem', 'xlayer-ecosystem']",,179795529123.30716,182009025848.42624,True,,3,,,,2025-10-12T08:03:00.000Z,1.000998983765372,187012417799.8365,-55.0452,0.01107463,0.00677946,0.09061486,0.10189213,0.1170484,0.08830493,179975141937.98782,4.8234,182190849910.4,,2025-10-12T08:03:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-10-12 10:05:36.034182
1839,BNB,BNB,bnb,2803,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'made-in-china']",,139182238.81,139182238.81,False,,4,,,,2025-10-12T08:04:00.000Z,1159.4956234020244,6850300758.516335,-40.7257,0.23932268,6.01673846,-1.61836502,28.20154521,37.12077684,64.16275946,161381196755.4904,4.325,161381196755.49,,2025-10-12T08:04:00.000Z,,,,,,2025-10-12 10:05:36.034182
52,XRP,XRP,xrp,1717,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",100000000000.0,59916045245.0,99985787384.0,False,,5,,,,2025-10-12T08:03:00.000Z,2.3914449082823777,8436375053.910693,-58.2028,-0.06026995,-0.90093756,-22.05094472,-21.99928768,-26.13034005,-19.05176365,143285921325.5718,3.8401,239144490828.24,,2025-10-12T08:03:00.000Z,,,,,,2025-10-12 10:05:36.034182
5426,Solana,SOL,solana,1015,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,546564894.3329924,611727330.6868482,True,,6,525236893.3,95918000496.29903,,2025-10-12T08:03:00.000Z,182.61855120964142,10280910449.97451,-49.9449,0.0001899,-0.21820629,-22.87234291,-23.12342579,-8.00657698,9.30794692,99812889145.14183,2.675,111712758865.37,,2025-10-12T08:03:00.000Z,,,,,,2025-10-12 10:05:36.034182
3408,USDC,USDC,usd-coin,32769,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'xdc-ecosystem', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'venom-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'unichain-ecosystem', 'vector-smart-chain-ecosystem', 'sophon-ecosystem', 'xlayer-ecosystem']",,75481919496.85844,75481919496.85844,False,,7,60901219650.23,60899039577.799065,,2025-10-12T08:03:00.000Z,0.9999642031400445,20612618764.097828,-60.5008,-0.00357971,0.01389081,0.02688914,0.04620844,0.02677469,0.01273749,75479217481.15704,2.0229,75479217481.16,,2025-10-12T08:03:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-10-12 10:05:36.034182
1958,TRON,TRX,tron,1239,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'made-in-china']",,94667220162.80551,94667237435.17981,True,,8,94667886298.43,29891706208.864563,,2025-10-12T08:03:00.000Z,0.31575339196477126,940462917.0536025,-54.6677,-0.03034124,-0.35902794,-8.05699223,-9.39639143,-11.28486315,4.1285472,29891495874.281624,0.8011,29891501328.09,,2025-10-12T08:03:00.000Z,,,,,,2025-10-12 10:05:36.034182
74,Dogecoin,DOGE,dogecoin,1317,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america', 'binance-ecosystem', 'binance-listing']",,151316416383.7052,151316416383.7052,True,,9,,,,2025-10-12T08:04:00.000Z,0.1900657697478449,4416382157.94762,-62.0353,-0.33933241,-0.6151587,-28.05108654,-27.00606347,-22.7053398,-8.36621188,28760071155.454338,0.7708,28760071155.45,,2025-10-12T08:04:00.000Z,,,,,,2025-10-12 10:05:36.034182
2010,Cardano,ADA,cardano,1596,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",45000000000.0,35834505705.15792,44994673107.93063,False,,10,37997904336.0,24620360642.839443,,2025-10-12T08:03:00.000Z,0.647939960718139,1632879455.1581018,-69.7963,-0.3754508,-0.74386255,-26.33311785,-27.97894311,-24.46231827,-14.81331872,23218608218.95395,0.6223,29157298232.32,,2025-10-12T08:03:00.000Z,,,,,,2025-10-12 10:05:36.034182
